*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=FlexRigShield2
*Date=13:32:40
*CreatedBy=Fritzing 0.8.7b.01.24.1bf5
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;38.1307;-20.7494;0;Bottom;Via12
2;;THT;14.0008;-15.6693;-90;Bottom;F2
3;;THT;82.5808;-5.50934;-90;Bottom;FMHD17
4;;THT;34.3208;-44.8793;-90;Bottom;H-bridge2
5;;ftdi_basic;39.4008;-5.50934;0;Bottom;JP2
6;;THT;29.2408;-15.6693;-90;Bottom;F4
7;;THT;6.38081;-15.6693;-90;Bottom;F1
8;;THT;21.6208;-15.6693;-90;Bottom;F3
9;;;66.0709;-10.5893;0;Bottom;Via26
10;1M;THT;53.3708;-35.9893;-90;Bottom;R12
11;;THT;57.1808;-46.1493;-90;Bottom;FMHD12
12;1M;THT;58.4508;-37.4855;-90;Bottom;R10
13;1M;THT;62.4787;-19.2615;-135;Bottom;R21
14;1M;THT;17.8108;-41.0693;0;Bottom;R5
15;;;33.0507;-10.5894;0;Bottom;Via25
16;1M;THT;17.8108;-48.6893;0;Bottom;R11
17;;THT;52.1008;-15.6693;-90;Bottom;F7
18;;THT;54.6408;-53.7693;-90;Bottom;FMHD14
19;1M;THT;50.8308;-33.4493;-90;Bottom;R4
20;;;63.5307;-10.5894;0;Bottom;Via14
21;;;7.65079;-10.5894;0;Bottom;Via28
22;1M;THT;22.8908;-8.04934;0;Bottom;R23
23;1M;THT;17.8108;-46.1493;0;Bottom;R6
24;;;78.7707;-10.5894;0;Bottom;Via32
25;;;45.7507;-30.9094;0;Bottom;Via35
26;;;76.2307;-10.5894;0;Bottom;Via31
27;;;53.3707;-48.6894;0;Bottom;Via29
28;;;55.9107;-10.5894;0;Bottom;Via17
29;1M;THT;59.9387;-19.2615;-135;Bottom;R22
30;;;81.3107;-10.5894;0;Bottom;Via33
31;;;60.9907;-10.5894;0;Bottom;Via19
32;100k;THT;65.0187;-19.2615;-135;Bottom;R25
33;;;53.3707;-10.5894;0;Bottom;Via15
34;;;35.5907;-10.5894;0;Bottom;Via24
35;;;83.8507;-10.5894;0;Bottom;Via34
36;;THT;44.4808;-15.6693;-90;Bottom;F6
37;;;38.1307;-10.5894;0;Bottom;Via23
38;;THT;77.5008;-53.7693;-90;Bottom;FMHD15
39;;;45.7507;-10.5894;0;Bottom;Via20
40;;;40.6707;-10.5894;0;Bottom;Via22
41;;THT;95.232;-32.1305;0;Bottom;FMHD16
42;;;15.2708;-53.7693;0;Bottom;Hole1
43;;;58.4507;-10.5894;0;Bottom;Via18
44;;THT;67.3185;-5.48705;-90;Bottom;F8
45;1M;THT;63.5308;-33.4493;-90;Bottom;R24
46;;;45.7507;-35.9894;0;Bottom;Via9
47;;THT;38.1308;-37.2593;180;Bottom;F9
48;;;50.8307;-10.5894;0;Bottom;Via16
49;1M;THT;55.9108;-37.4855;-90;Bottom;R3
50;;tactile-switch-1101ne;13.3408;-5.50941;0;Top;reset
51;;;33.0507;-20.7494;0;Bottom;Via11
52;;;43.2107;-10.5894;0;Bottom;Via21
53;;ftdi_basic;57.1808;-5.50934;0;Bottom;JP1
54;;THT;57.1808;-25.8293;-90;Bottom;FMHD11
55;;THT;34.3208;-29.6393;-90;Bottom;H-bridge1
56;;THT;32.8084;-53.7693;-90;Bottom;FMHD13
